Station_Name,Province,Address,City,PHONE,SITE NUMBER,Latitude,Longitude
Acheson Travel Centre,AB,26304 Township Rd 531A,Acheson,,524593,53.563064,-113.765563
Calgary Wrangler Road,AB,234090 Wrangler Rd,Calgary,,524552,50.982818,-113.904855
Calgary Meridian,AB,2504 7 Ave NE,Calgary,,524554,51.058601,-114.001177
Calgary Travel Centre,AB,2525 32 Ave NE,Calgary,,524545,51.081342,-113.999714
Calgary Eastlake Industrial,AB,5225 106 Ave SE,Calgary,,524551,50.9575,-113.95917
Calgary 52 Street,AB,6811 52 St SE,Calgary,,524553,50.994216,-113.958542
Drayton Valley,AB,5201 62 St,Drayton Valley,,524602,53.22435,-114.999723
Edmonton West Industrial,AB,16002 114 Ave,Edmonton,,524590,53.56309,-113.597583
Grassland,AB,5004 50th Ave,Grassland,,524550,54.808268,-112.769618
Hinton Gregg Ave Travel Centre,AB,511 Gregg Ave,Hinton,,524601,53.39442,-117.60352
Lethbridge,AB,3951 2 Ave N,Lethbridge,,524596,49.702226,-112.783733
Lloydminster Bulk Plant,AB,5310 52 St,Lloydminster,,524542,53.285992,-110.011015
Lloydminster Travel Centre,AB,5721 44 St,Lloydminster,,524604,53.277824,-110.027502
Medicine Hat,AB,561 15 St SW,Medicine Hat,,524603,50.025172,-110.70006
Red Deer Bulk Plant,AB,8120 Edgar Industrial Dr,Red Deer,,524608,52.315897,-113.838868
Strathmore Travel Centre,AB,436 Ridge Rd,Strathmore,,524597,51.03866,-113.39813
Vermilion,AB,4403 52 St,Vermilion,,524598,53.34626,-110.85922
Red Deer,AB,8132 Edgar Industrial Close,Red Deer,,519349,52.316185,-113.836285
Fort McMurray,AB,160 MacKay Crescent,Fort McMurray,,519354,56.666165,-111.327623
Boyle,AB,RR 194A & TWP Rd 683,Boyle,,541282,54.797182,-113.173814
Lac La Biche,AB,10302 101 Ave,Lac La Biche,,519346,54.763229,-112.013444
Slave Lake,AB,1501 15th Avenue SE,Slave Lake,,519341,55.264318,-114.763268
Spruce Valley (Prosvita),AB,194057A Twp Rd 683,Spruce Valley,,524546,54.896766,-112.865478
Rycroft,AB,4923 43 St,Rycroft,,524599,55.7568,-118.698606
Clairmont Travel Centre,AB,7201 99 St,Clairmont,,524607,55.233966,-118.793521
Edmonton West Travel Centre,AB,11760 167 St NW,Edmonton,,519352,53.569554,-113.610058
Whitecourt,AB,Jct Hwy 43 & 32,Whitecourt,,524611,54.191371,-115.788686
Leduc,AB,201 8020 Sparrow Dr,Leduc,,524591,53.303071,-113.543493
Viking,AB,Alberta 36 & AB-14,Viking,,519353,53.09534,-111.785622
Kananaskis Travel Centre,AB,100 Nakoda Way,Kananaskis,,528508,51.099022,-115.015157
Bassano Travel Centre,AB,602 12 Street,Bassano,,519339,50.791536,-112.449671
Hinton Smith St Travel Centre,AB,438 Smith Street,Hinton,,519345,53.408272,-117.554113
Sherwood Park,AB,28 Strathmoor Dr,Sherwood Park,,541686,53.56638,-113.3238
Red Earth,AB,Loon River Industrial Park Hwy 88 Lot 12,Red Earth,,523735,56.526525,-115.307171
Edmonton Bulk Plant,AB,3515 76 Ave,Edmonton,,524595,53.511749,-113.395564
Bonnyville,AB,6508 54 AVENUE,Bonnyville,,544222,54.27174,-110.77874
Edson,AB,Hwy 16,Edson,,524610,53.584862,-116.361339
Rainbow Lake,AB,25 Mobil Ave,Rainbow Lake,,524592,58.496941,-119.406486
Okotoks,AB,48223 338th Avenue East,Okotoks,,519347,50.744416,-113.908188
Hythe,AB,Alberta 43,Hythe,,519340,55.334351,-119.566138
Wheatland County (Origin Industrial Park),AB,6 Durum Dr,Wheatland County,,544912,51.035658,-113.629436
Esso Deadman's Flats,AB,HWY 1 West 200 - 1st Avenue,Deadman's Flats,,524609,51.03957,-115.2635
Esso Grande Prairie,AB,9212-108 Street,Grande Prairie,,551007,55.16433,-118.82215
Blue River Travel Centre,BC,778 Hwy 5,Blue River,,524578,52.103737,-119.310128
Cache Creek,BC,959 S Trans-Canada Hwy,Cache Creek,,524586,50.80556,-121.325
Chilliwack Travel Centre,BC,7620a Vedder Rd,Chilliwack,,524555,49.140973,-121.960004
Fort Nelson Bulk Plant,BC,Mile 293 Alaska Hwy,Fort Nelson,,524587,58.74169,-122.681054
Fort St John Bulk Plant,BC,9516 78 St,Fort St John,,524583,56.241725,-120.806246
Fort St John Sikanni Rd,BC,9516 Sikanni Rd,Fort St John,,524585,56.232863,-120.840958
Golden Travel Centre,BC,1050 Trans-Canada Hwy,Golden,,524571,51.311672,-116.970556
Hope Flood Hope Rd,BC,61850 Flood Hope Rd,Hope,,524575,49.365547,-121.517804
Kamloops Paul Lake Rd Travel Centre,BC,401 Paul Lake Rd,Kamloops,,524588,50.7097,-120.329751
McBride,BC,1006 N Frontage Rd,McBride,,524570,53.304192,-120.159644
Prince George Travel Center,BC,1148 Pacific St,Prince George,,524572,53.87259,-122.73639
Sicamous Travel Centre,BC,1340 Trans-Canada Hwy,Sicamous,,524574,50.845563,-118.955025
Terrace,BC,3097 BC-16 Hwy E,Terrace,,524579,54.513787,-128.540111
Merritt Airport Rd Travel Centre,BC,3999 Airport Rd,Merritt,,529519,50.123611,-120.748889
Dawson Creek,BC,1725 Alaska Hwy,Dawson Creek,,519383,55.782287,-120.281184
Williams Lake,BC,645 Mackenzie Ave N,Williams Lake,,522409,52.135554,-122.151114
Prince George Great Street,BC,1085 Great Street,Prince George,,519359,53.877015,-122.73781
Ashcroft Trav el Centre,BC,2005 Cornwall Rd,Ashcroft,,521400,50.721911,-121.327014
Barriere Travel Centre,BC,5114 Barriere Town Road,Barriere,,519378,51.160373,-120.122015
Armstrong,BC,957 Otter Lake Cross Rd,Armstrong,,519387,50.392452,-119.229282
Clearwater,BC,511 E. Yellowhead Hwy,Clearwater,,519382,51.651431,-120.031014
Kamloops North,BC,1202 Chief Louis Rd,Kamloops,,519380,50.71087,-120.327785
Kamloops South,BC,Copperhead Dr & Trans-Canada Hwy,Kamloops,,519357,50.660728,-120.400879
Lillooet,BC,667 Industrial Place,Lillooet,,519373,50.681968,-121.921347
Lumby,BC,1450 Dyffryn,Lumby,,519370,50.247017,-118.953599
Merritt Lauder St,BC,2588 Lauder St,Merritt,,519371,50.108817,-120.774937
Oliver,BC,230 Maple Ave,Oliver,,521176,49.172797,-119.543852
Osoyoos,BC,11621 115 St,Osoyoos,,521177,49.041327,-119.502456
Princeton,BC,315 Burton Ave,Princeton,,519377,49.453498,-120.510468
Midway,BC,737 Palmerston Avenue,Midway,,546236,49.01044,-118.77702
Savona Esso Cardlock,BC,1000 Trans Canada Hwy,Savona,,549727,50.771085,-120.941265
Minto RD Esso CDLK,BC,4160 Minto Rd,Castlegar,,519381,49.257871,-117.65859
Cranbrook,BC,2001 Theatre Rd,Cranbrook,,519356,49.534249,-115.753362
Salmo,BC,5923 Hwy #3,Salmo,,519372,49.192095,-117.328846
Sparwood,BC,747 Douglas Fir Rd,Sparwood,,523943,49.709405,-114.894711
Campbell River,BC,1651 Maple Street,Campbell River,,519374,50.030918,-125.263132
Courtenay,BC,2650 Cliffe Ave,Courtenay,,519367,49.675788,-124.98194
Nanaimo,BC,760 Jackson Rd,Nanaimo,,519375,49.137809,-123.871722
Victoria,BC,975 Henry Eng Place,Victoria,,519384,48.444293,-123.515639
Abbotsford,BC,30650 South Fraser Way,Abbotsford,,523529,49.052668,-122.374967
Cloverdale,BC,"17979 55 Ave, Surrey",Cloverdale,,519386,49.102489,-122.724359
Surrey,BC,11807 Tannery Rd,Surrey,,519376,49.1978,-122.895057
Invermere,BC,548 Hwy 93/95 & Cooper Rd,Invermere,,545954,50.51325,-115.996361
Silver Creek Travel Centre,BC,19700 Klassen Rd,Hope,,541200,49.363756,-121.480457
Prince George Hart Hwy Travel Centre,BC,8087 Hart Hwy,Prince George,,524580,54.004245,-122.801177
Prince George Foreman Road,BC,778 Foreman Rd,Prince George,,541489,53.921496,-122.651805
Prince George Noranda Rd,BC,2180 Noranda Rd,Prince George,,524577,53.965572,-122.765717
Fort Nelson 48 Ave,BC,5303 48 Ave,Fort Nelson,,524878,58.80216,-122.705638
Brandon 18 St N Travel Centre,MB,1990 18 St N,Brandon,,524544,49.88667,-99.962784
Headingley Travel Centre,MB,5141 Portage Ave,Headingley,,524617,49.875606,-97.391808
Winnipeg Brookside,MB,1991 Brookside Blvd,Winnipeg,,524568,49.951935,-97.229265
Winnipeg Kenaston,MB,25 Lowson Cres,Winnipeg,,524564,49.839934,-97.208598
Winnipeg Bulk Plant,MB,922 Dugald Rd,Winnipeg,,524600,49.885845,-97.081142
Morris,MB,Hwy 75 & Stampede Dr,Morris,,524618,49.343451,-97.36665
Brandon Middleton Ave,MB,1815 Middleton Ave,Brandon,,519389,49.887757,-99.96196
Prawda Travel Centre,MB,Hwy 1 PR-506,Prawda,,522586,49.649208,-95.793957
Oak Bluff Travel Centre,MB,40 Boundary Commission Trail,Oak Bluff,,519401,49.773861,-97.320724
Bayside Travel Centre,NS,HWY 104 Exit 36B,Paqtnkek Nik-uek,,540397,45.596384,-61.743066
Esso Belleville,ON,902 Wallbridge Loyalist Road,Belleville,,547259,44.179041,-77.445712
Esso Chatham Bloomfield,ON,22216 Bloomfield Road,Chatham,,547206,42.348528,-82.181862
Esso Sarnia,ON,1670 London Line,Sarnia,,547260,42.983994,-82.331209
Esso Tilbury,ON,3613 Queens Line,Tilbury,,547205,42.265972,-82.417954
Mississauga Pearson,ON,6965 Vanguard Drive,Mississauga,,546210,43.691459,-79.65499
Stouffville,ON,5241 Bloomington Rd,Stouffville,,519423,43.999354,-79.289641
Hearst Front Street Travel Centre,ON,1112 Front St Bag 11000,Hearst,,519417,49.690495,-83.671271
Moosomin Esso Cardlock,SK,502 Park Ave,Moosomin,,550168,50.150972,-101.667832
Cabano,QC,145 Boul Industriel,Cabano,,540376,47.675843,-68.882064
Deschambeault,QC,25 desPins,Deschambeault,,524118,46.638321,-71.994529
Drummondville,QC,2115 rue canadien,Drummondville,,524106,45.885671,-72.538728
Mont-Joli,QC,1000 B rue Piché,Mont-Joli,,546174,48.59869,-68.20796
Saint-Apollinaire,QC,495 rue Laurier,Saint-Apollinaire,,546788,46.61508,-71.51641
Stanstead,QC,3 Chemin de Fairfax,Stanstead,,524116,45.023671,-72.087192
Ste-Helene-de-Bagot,QC,549 3e Rang,Ste-Hélène-de-Bagot,,519431,45.735313,-72.740071
Spencerville Travel Centre,ON,2025 County Road 44,Spencerville,,524565,44.75982,-75.483334
Esso Portneuf-Sur-Mer,QC,3 route 138,Portneuf-Sur-Mer,,550625,48.62985,-69.10366
Esso Nisku,AB,2010 Sparrow Drive,Nisku,,547008,53.33541,-113.54068
London,ON,7340 Colonel Talbot Rd,London,,545520,42.834708,-81.266637
Esso Toronto Finch,ON,1140 Finch Ave W,Toronto,,550505,43.733201,-79.479187
Winnipeg Redonda,MB,1300 Redonda Street,Winnipeg,,524549,49.932427,-96.978086
Cold Lake Esso CL,AB,10-1-65-4 W4M,Cold Lake,,519343,54.456281,-110.202577
Belmont Travel Centre,ON,Hwy 401 & 74,Belmont,,524543,42.945039,-81.107591
Bradford Travel Centre,ON,1-3479 Hwy 88,Bradford,,524621,44.099975,-79.62676
Dryden Travel Centre,ON,379 Government St,Dryden,,524626,49.786255,-92.833233
Gormley,ON,2210 Stouffville Rd,Gormley,,524624,43.942222,-79.380007
Hearst Hwy 11 W Travel Centre,ON,1565 Hwy 11 W,Hearst,,524622,49.691816,-83.686203
Joyceville Travel Centre,ON,2054 Joyceville Rd,Joyceville,,524556,44.322671,-76.336184
New Liskeard Travel Centre,ON,997491 Hwy 11 N,New Liskeard,,524627,47.53625,-79.674004
Niagara-on-the-Lake Travel Centre,ON,615 York Rd,Niagara-on-the-Lake,,524566,43.15662,-79.155183
Nipigon Travel Centre,ON,Hwy 11 & 17 N,Nipigon,,524559,49.019142,-88.305002
North Bay,ON,3090 Hwy 11 N,North Bay,,524560,46.35695,-79.468176
Sault Ste. Marie Travel Centre,ON,1275 Trunk Rd,Sault Ste. Marie,,524620,46.532055,-84.250424
Thunder Bay Travel Centre,ON,1120 Alloy Dr,Thunder Bay,,524619,48.408339,-89.258337
Windsor Travel Centre,ON,Hwy 401 & Country Rd Exit 14,Windsor,,524567,42.244444,-82.95139
Cornwall,ON,1400 Boundary Rd,Cornwall,,524882,45.056911,-74.68673
Dunvegan,ON,1515 County Rd #20,Dunvegan,,519414,45.340521,-74.896743
Hawkesbury,ON,345 County Road 17,Hawkesbury,,523093,45.588022,-74.585149
Waubashene Travel Centre,ON,21 Quarry Road,Waubashene,,519410,44.765242,-79.697257
Nairn Centre Travel Centre,ON,220 ON-17,Nairn Centre,,519420,46.329308,-81.588736
Kingston Travel Centre,ON,1525-1601 Centennial Drive,Kingston,,519406,44.279839,-76.568405
Wawa,ON,54 Pinewood Drive,Wawa,,519427,47.964525,-84.792283
Timmins Travel Centre,ON,2154 Riverside Drive,Timmins,,519425,48.47303,-81.401289
Bainsville Travel Centre,ON,6115 4th Line Rd,Bainsville,,524879,45.194452,-74.382752
Dryden Highway 17 East,ON,15627 Hwy 17 E,Dryden,,519415,49.813772,-92.845758
Sioux Lookout,ON,#19 Black Bear Road,Sioux Lookout,,519422,50.100514,-91.898724
Cochrane,ON,99 - Highway 11,Cochrane,,529152,49.051963,-81.031958
White River Travel Centre,ON,217 Hwy 17 N,White River,,524623,48.593966,-85.277873
Rosslyn Travel Centre,ON,3131 West Arthur St,Rosslyn,,524625,48.380241,-89.411438
Mississauga Dixie,ON,7280 Dixie Road,Mississauga,,519416,43.679799,-79.683293
Vaughan,ON,6535 Langstaff Road,Vaughan,,528143,43.78598,-79.65014
Mississauga Kennedy Rd Travel Centre,ON,6625 Kennedy Rd,Mississauga,,524557,43.647538,-79.683036
Mississauga Shawson Dr Travel Centre,ON,1553 Shawson Dr,Mississauga,,524558,43.65382,-79.642158
Thessalon Travel Centre,ON,10 Lakeshore Dr,Thessalon,,542139,46.265624,-83.569112
Woodstock,ON,714983 Oxford Road 4,Woodstock,,541275,43.139154,-80.701743
Wingham,ON,82 Kerr Drive,Wingham,,541308,43.881358,-81.314369
Mississauga Goreway Dr,ON,6501 Goreway Drive,Mississauga,,546136,43.707132,-79.615212
Cardinal,ON,2085 Shanly Rd - County Rd 22,Cardinal,,529037,44.807899,-75.40212
Milton,ON,10862 Steeles Avenue East,Milton,,540803,43.543325,-79.869498
Fort Frances,ON,505 McIrvine Rd,Fort Frances,,519411,48.60993,-93.429179
Saint-Bernard-de-Lacolle,QC,105 Chemin Pleasant Valley,Saint-Bernard-de-Lacolle,,522463,45.067761,-73.458491
Regina Travel Centre,SK,1755 Prince of Wales Dr,Regina,,524613,50.449526,-104.53151
Saskatoon Travel Centre,SK,Hwy 16 & Marquis Dr,Saskatoon,,524562,52.192716,-106.688121
Swift Current East Travel Centre,SK,1510 S Service Rd W,Swift Current,,524612,50.286673,-107.822224
Davidson,SK,HWY 11 & Enterprise Lane,Davidson,,522574,51.2485,-105.966691
Saskatoon Grasswood Travel Centre,SK,Hwy #11 South at Grasswood Road,Saskatoon,,519403,52.055972,-106.600546
Swift Current West Travel Centre,SK,2615 N Service Road West,Swift Current,,519404,50.287058,-107.866256
Regina Industrial,SK,210 Mcdonald St N,Regina,,524615,50.4794,-104.574152
Meadow Lake,SK,#2 Commercial Crescent,Meadow Lake,,519402,54.12143,-108.454153
Hinton Gregg Ave Travel Centre,AB,511 Gregg Ave,Hinton,,550975,53.39442,-117.60352
Woodstock,ON,714983 Oxford Road 4,Woodstock,,553572,43.139154,-80.701743
Bayside Travel Centre,NS,"HWY 104, Exit 36B, Paqtnkek Nik-uek",Afton Station,902-386-2391,540937,45.596384,-61.743066
Esso Bowmanville,ON,87 Mearns Court,Bowmanville,416-521-9533,551368,43.913043,-78.689617
Esso Berthier,QC,1181 Bd Gilles Villeneuve,Berthier,,548525,46.087359,-73.183896
