SITE NUMBER,Station_Name,Province,City,Address,Latitude,Longitude
1262,IRVING 24 FREDERICTON,NB,FREDERICTON,"536 Riverside Dr, Fredericton, NB E3A 8C2",45.9731,-66.6427
1373,IRVING 24 ST-QUENTIN,NB,SAINT-QUENTIN,"131 Rue Canada, Saint-Quentin, NB E8A 1J4",47.5133,-67.3874
1522,IRVING 24 CHATHAM,NB,MIRAMICHI,"184 King St, Miramichi (Chatham), NB E1N 1E6",47.0205,-65.4684
1763,IRVING 24 PENNFIELD,NB,PENNFIELD RIDGE,"5030 Route 1, Pennfield Ridge, NB E5H 1K1",45.1428,-66.6891
1340,IRVING 24 GRAND FALLS,NB,SAINT-ANDRE,"121 Route 255, St Andre, NB E3Y 3N5",47.053,-67.7361
1375,SALISBURY IRVING BIG STOP,NB,SALISBURY,"2986 Fredericton Rd, Salisbury, NB E4J 3E2",46.0488,-65.0516
1466,IRVING 24 MONCTON,NB,MONCTON,"505 Edinburgh Dr, Moncton, NB E1E 4E3",46.1177,-64.8167
1043,IRVING 24 BATHURST,NB,BATHURST,"1350 St Peter Ave, Bathurst, NB E2A 7M7",47.6207,-65.6442
1169,IRVING 24 CHIPMAN,NB,CHIPMAN,"16 Mill Rd, Chipman, NB E4A 2H4",46.15,-65.8833
1312,LINCOLN IRVING BIG STOP,NB,WAASIS,"415 Nevers Rd, Waasis, NB E3B 9E1",45.9833,-66.4833
1599,IRVING 24 ROUTE 1,NB,ROTHESAY,"2870 NB-1, Rothesay, NB E2E 6H1",45.3753,-65.9937
1722,IRVING 24 LANCASTER,NB,SAINT JOHN,"783 Fairville Blvd, Saint John, NB E2M 5P9",45.2657,-66.1088
1832,IRVING 24 SUSSEX,NB,SUSSEX,"111 Broad St, Sussex, NB E4E 2A3",45.7157,-65.5088
1988,AULAC IRVING BIG STOP,NB,AULAC,"170 Aulac Rd, Aulac, NB E4L 2X2",45.8613,-64.3068
6168,IRVING 24 ST STEPHEN,NB,SAINT STEPHEN,"283 St Stephen Dr, St Stephen, NB E3L 2X1",45.1869,-67.2641
15019,MURRAYS IRVING,NB,BEARDSLEY,"198 Beardsley Rd, Beardsley, NB E7G 1V5",46.2333,-67.7167
1100,IRVING 24 DIGBY,NS,DIGBY,"186 Montague Row, Digby, NS B0V 1A0",44.6198,-65.7574
2248,IRVING 24 DARTMOUTH,NS,DARTMOUTH,"35 Akerley Blvd, Dartmouth, NS B3B 1R7",44.7046,-63.5908
2361,NEW MINAS IRVING BIG STOP,NS,NEW MINAS,"9321 Commercial St, New Minas, NS B4N 3G5",45.0781,-64.3803
2513,IRVING 24 NEW GLASGOW,NS,NEW GLASGOW,"330 Stellarton Rd, New Glasgow, NS B2H 5E1",45.5775,-62.6469
2871,IRVING 24 YARMOUTH,NS,YARMOUTH,"228 Forest St, Yarmouth, NS B5A 4B7",43.8386,-66.1168
2203,IRVING 24 BEECHVILLE,NS,BEECHVILLE,"3465 Kempt Rd, Beechville, NS B3L 4T4",44.6614,-63.6819
2633,ENFIELD IRVING BIG STOP,NS,ENFIELD,"82 Hwy 2, Enfield, NS B2T 1C9",44.9314,-63.5614
2093,IRVING 24 BRIDGEWATER,NS,BRIDGEWATER,"45 North St, Bridgewater, NS B4V 2V6",44.385,-64.5222
2740,TRURO HEIGHTS IRVING BIG STOP,NS,TRURO,"50 Treaty Trail, Truro, NS B2N 5B1",45.3847,-63.2939
2465,AULDS COVE IRVING BIG STOP,NS,AULDS COVE,"2 Trans-Canada Hwy, Aulds Cove, NS B0H 1B0",45.6172,-61.4717
3134,DEER LAKE IRVING BIG STOP,NL,DEER LAKE,"1 Eastbound Dr, Deer Lake, NL A8A 1S8",49.1783,-57.4283
3340,IRVING 24 ST.JOHNS,NL,MOUNT PEARL,"65 Clyde Ave, Mount Pearl, NL A1N 4R8",47.5227,-52.7861
