Station_Name,Province,Address,Latitude,Longitude,Network
MCL DP2Z- BLOCK 80 DEPOT A,,"Block 80 Depot, Fort McMurray, AB",56.73,-111.38,Petro
ALDERSYDE,AB,"200-64273 Hwy 547 East, Aldersyde, AB",50.696335,-113.887517,Petro
ATHABASCA,AB,"5306 - 51st Avenue, Athabasca, AB",54.721869,-113.29284,Petro
BASSANO,AB,"525 - 11th Street, Bassano, AB",51.944507,-103.80147,Petro
BONNYVILLE,AB,"5602 - 54th Avenue, Bonnyville, AB",54.271396,-110.758946,Petro
BROOKS-AGCOM,AB,"600 Industrial Road, Brooks, AB",50.554255,-111.885409,Petro
BVD - CALGARY WEST,AB,"2515 - 50th Avenue S.E., Calgary, AB",51.008043,-113.99944,Petro
CALGARY ROAD KING,AB,"Road King, Calgary, AB",51.08,-114.1,Petro
CALGARY-COUNTRY HILLS,AB,"70 Freeport Blvd. N.E., Calgary, AB",51.151436,-114.00841,Petro
CALGARY-MONUMENT,AB,"215 Monument Place S.E., Calgary, AB",51.052125,-113.997284,Petro
CALGARY-OGDEN RD,AB,"4022 Ogden Road S.E., Calgary, AB",51.019559,-114.029202,Petro
CALGARY-REMINGTON,AB,"5215 61st Avenue S.E., Calgary, AB",50.998457,-113.959594,Petro
CAMROSE,AB,"3901 - 42nd Avenue, Camrose, AB",53.004742,-112.80751,Petro
CARDSTON,AB,"890 Main Street, Cardston, AB",49.188884,-113.301702,Petro
CARSTAIRS,AB,"732 Highfield Drive, Carstairs, AB",51.571975,-114.097717,Petro
CLAIRMONT,AB,"10702 - 79th Ave, Clairmont, AB",55.239277,-118.814113,Petro
CNRL HORIZON PROJECT,AB,"Horizon Project, Fort McMurray, AB",56.73,-111.38,Petro
COCHRANE-JUMPING POUND,AB,"Hwy 1 and Hwy 22 (Cochrane Turnoff), Cochrane, AB",51.087701,-114.4752,Petro
COLD LAKE,AB,"5011 - 47th Ave., Cold Lake, AB",54.409684,-110.206942,Petro
CORONATION,AB,"4426 Railway Avenue, Coronation, AB",52.088957,-111.438993,Petro
CROSSFIELD,AB,"283188 Range Road 293, Crossfield, AB",51.413812,-114.000516,Petro
DEPOT,AB,"Block 80 Depot, Fort McMurray, AB",56.73,-111.38,Petro
DRAYTON VALLEY-50TH ST,AB,"2054 50th Street, Drayton Valley, AB",53.1935937,-114.9766707,Petro
DRAYTON VALLEY-INDUSTRIAL,AB,"5010 Industrial Road, Drayton Valley, AB",53.226404,-114.978458,Petro
DRUMHELLER,AB,"510 Premier Road, Drumheller, AB",51.461494,-112.728736,Petro
EDMONTON-118 AVE,AB,"15630 - 118th Avenue, Edmonton, AB",53.571129,-113.59138,Petro
EDMONTON-50TH ST,AB,"8025 - 50th Street, Edmonton, AB",53.516669,-113.417503,Petro
EDMONTON-ACHESON,AB,"#4, 53016 Hwy. 60, Acheson Park, Spruce Grove, Edmonton, AB",53.548075,-113.767832,Petro
EDMONTON-WEST (HUNTERS CNR,AB,"Hwy 16 & Hwy 60, Township Road 531A, Edmonton, AB",53.565076,-113.761293,Petro
EDMONTON-YELLOWHEAD,AB,"6031 - 125th Avenue, Edmonton, AB",53.56507,-113.760225,Petro
EDSON - 63 ST,AB,"6330 - 4 Avenue, Edson, AB",53.576512,-116.4565,Petro
FALHER,AB,"Hwy. 49 & Main Street, Falher, AB",55.725156,-117.202578,Petro
FORT MCMURRAY PPASS 66,AB,"365 MacAlpine Crescent, Fort McMurray, AB",56.668561,-111.344724,Petro
FORT MCMURRAY-NORTH,AB,"145/165 Taiganova Cres, Fort McMurray, AB",56.77177,-111.419435,Petro
FORT MCMURRAY-SOUTH,AB,"365 MacAlpine Crescent, Fort McMurray, AB",56.668561,-111.344724,Petro
FOX CREEK,AB,"109 - 1st Ave., Fox Creek, AB",54.393084,-116.799431,Petro
FT SASKATCHEWAN,AB,"11128 - 88th Avenue, Fort Saskatchewan, AB",53.706227,-113.196334,Petro
GLENEVIS,AB,"Glenevis, AB",53.85,-114.0,Petro
GRANDE PRAIRIE-116 ST,AB,"116th Street, Grande Prairie, AB",55.17,-118.8,Petro
GRANDE PRAIRIE-97TH,AB,"11410 - 97th Avenue, Grande Prairie, AB",55.167474,-118.83795,Petro
GRASSLAND,AB,"4703 50 Avenue, Grassland, AB",54.819493,-112.678185,Petro
HANNA,AB,"202 Palliser Trail, Hanna, AB",51.640088,-111.941832,Petro
HARDISTY,AB,"Highway #881, Hardisty, AB",52.670127,-111.314426,Petro
HIGH LEVEL,AB,"11915 - 95 Street, High Level, AB",58.498367,-117.14749,Petro
HIGH PRAIRIE,AB,"5401 - 53rd Ave., High Prairie, AB",55.432569,-116.507467,Petro
HINTON,AB,"470 Carmichael Lane, Hinton, AB",53.396608,-117.600929,Petro
HUSSAR,AB,"133 - 2nd Avenue East, Hussar, AB",51.039889,-112.679586,Petro
LA CRETE,AB,"La Crete, AB",58.19,-116.42,Petro
LAC LA BICHE,AB,"14072 Stanley Drive, Lac La Biche, AB",54.762349,-112.010958,Petro
