SITE_NUMBER,Station_Name,CITY,PROVINCE,Address,FUEL_PRICE,EFFECTIVE_DATE
524593,,ACHESON,AB,,160.9,2026-03-31 00:00:00
519339,,BASSANO,AB,,167.3,2026-03-31 00:00:00
544222,,BONNYVILLE,AB,,167.6,2026-03-31 00:00:00
541282,,BOYLE,AB,,173.3,2026-03-31 00:00:00
524545,,CALGARY,AB,,163.2,2026-03-31 00:00:00
524551,,CALGARY,AB,,163.1,2026-03-31 00:00:00
524553,,CALGARY,AB,,163.7,2026-03-31 00:00:00
524554,,CALGARY,AB,,163.2,2026-03-31 00:00:00
524552,,CALGARY,AB,,163,2026-03-31 00:00:00
524607,,CLAIRMONT,AB,,170.2,2026-03-31 00:00:00
519343,,COLD LAKE,AB,,170.5,2026-03-31 00:00:00
524609,,DEADMANS FLATS,AB,,166.5,2026-03-31 00:00:00
524602,,DRAYTON VALLEY,AB,,167.9,2026-03-31 00:00:00
519352,,EDMONTON,AB,,160.1,2026-03-31 00:00:00
524590,,EDMONTON,AB,,161.4,2026-03-31 00:00:00
524595,,EDMONTON,AB,,160.6,2026-03-31 00:00:00
519354,,FORT MCMURRAY,AB,,168.6,2026-03-31 00:00:00
551007,,GRAND PRAIRIE,AB,,169.3,2026-03-31 00:00:00
524550,,GRASSLAND,AB,,168.1,2026-03-31 00:00:00
519345,,HINTON,AB,,165,2026-03-31 00:00:00
550975,,HINTON,AB,,165.3,2026-03-31 00:00:00
524601,,HINTON,AB,,166.4,2026-03-31 00:00:00
519340,,HYTHE,AB,,169.2,2026-03-31 00:00:00
519340,,HYTHE,AB,,169.7,2026-03-31 00:00:00
528508,,KANANASKIS,AB,,166.3,2026-03-31 00:00:00
519346,,LAC LA BICHE,AB,,168.7,2026-03-31 00:00:00
524596,,LETHBRIDGE,AB,,167.2,2026-03-31 00:00:00
524542,,LLOYDMINSTER,AB,,162.2,2026-03-31 00:00:00
524604,,LLOYDMINSTER,AB,,163.8,2026-03-31 00:00:00
524603,,MEDICINE HAT,AB,,168.1,2026-03-31 00:00:00
524591,,NISKU,AB,,161.1,2026-03-31 00:00:00
547008,,NISKU,AB,,161.3,2026-03-31 00:00:00
519347,,OKOTOKS,AB,,166.6,2026-03-31 00:00:00
524592,,RAINBOW LAKE,AB,,177.6,2026-03-31 00:00:00
519349,,RED DEER,AB,,165.4,2026-03-31 00:00:00
524608,,RED DEER,AB,,164.6,2026-03-31 00:00:00
