SITE_NUMBER,Station_Name,CITY,PROVINCE,Address,FUEL_PRICE,EFFECTIVE_DATE
524593,Acheson Travel Centre,ACHESON,AB,26304 Township Rd 531A,160.9,2026-03-31
519339,Bassano Travel Centre,BASSANO,AB,602 12 Street,167.3,2026-03-31
544222,Bonnyville,BONNYVILLE,AB,6508 54 AVENUE,167.6,2026-03-31
541282,Boyle,BOYLE,AB,RR 194A & TWP Rd 683,173.3,2026-03-31
524553,Calgary 52 Street,CALGARY,AB,6811 52 St SE,163.7,2026-03-31
524551,Calgary Eastlake Industrial,CALGARY,AB,5225 106 Ave SE,163.1,2026-03-31
524554,Calgary Meridian,CALGARY,AB,2504 7 Ave NE,163.2,2026-03-31
524545,Calgary Travel Centre,CALGARY,AB,2525 32 Ave NE,163.2,2026-03-31
524552,Calgary Wrangler Road,CALGARY,AB,234090 Wrangler Rd,163.0,2026-03-31
524607,Clairmont Travel Centre,CLAIRMONT,AB,7201 99 St,170.2,2026-03-31
519343,Cold Lake Esso CL,COLD LAKE,AB,10-1-65-4 W4M,170.5,2026-03-31
524602,Drayton Valley,DRAYTON VALLEY,AB,5201 62 St,167.9,2026-03-31
524595,Edmonton Bulk Plant,EDMONTON,AB,3515 76 Ave,160.6,2026-03-31
524590,Edmonton West Industrial,EDMONTON,AB,16002 114 Ave,161.4,2026-03-31
519352,Edmonton West Travel Centre,EDMONTON,AB,11760 167 St NW,160.1,2026-03-31
524609,Esso Deadman's Flats,DEADMANS FLATS,AB,HWY 1 West 200 - 1st Avenue,166.5,2026-03-31
551007,Esso Grande Prairie,GRAND PRAIRIE,AB,9212-108 Street,169.3,2026-03-31
547008,Esso Nisku,NISKU,AB,2010 Sparrow Drive,161.3,2026-03-31
519354,Fort McMurray,FORT MCMURRAY,AB,160 MacKay Crescent,168.6,2026-03-31
524550,Grassland,GRASSLAND,AB,5004 50th Ave,168.1,2026-03-31
550975,Hinton Gregg Ave Travel Centre,HINTON,AB,511 Gregg Ave,165.3,2026-03-31
524601,Hinton Gregg Ave Travel Centre,HINTON,AB,511 Gregg Ave,166.4,2026-03-31
519345,Hinton Smith St Travel Centre,HINTON,AB,438 Smith Street,165.0,2026-03-31
519340,Hythe,HYTHE,AB,Alberta 43,169.2,2026-03-31
519340,Hythe,HYTHE,AB,Alberta 43,169.7,2026-03-31
528508,Kananaskis Travel Centre,KANANASKIS,AB,100 Nakoda Way,166.3,2026-03-31
519346,Lac La Biche,LAC LA BICHE,AB,10302 101 Ave,168.7,2026-03-31
524591,Leduc,NISKU,AB,201 8020 Sparrow Dr,161.1,2026-03-31
524596,Lethbridge,LETHBRIDGE,AB,3951 2 Ave N,167.2,2026-03-31
524542,Lloydminster Bulk Plant,LLOYDMINSTER,AB,5310 52 St,162.2,2026-03-31
524604,Lloydminster Travel Centre,LLOYDMINSTER,AB,5721 44 St,163.8,2026-03-31
524603,Medicine Hat,MEDICINE HAT,AB,561 15 St SW,168.1,2026-03-31
519347,Okotoks,OKOTOKS,AB,48223 338th Avenue East,166.6,2026-03-31
524592,Rainbow Lake,RAINBOW LAKE,AB,25 Mobil Ave,177.6,2026-03-31
519349,Red Deer,RED DEER,AB,8132 Edgar Industrial Close,165.4,2026-03-31
524608,Red Deer Bulk Plant,RED DEER,AB,8120 Edgar Industrial Dr,164.6,2026-03-31
524599,Rycroft,RYCROFT,AB,4923 43 St,172.2,2026-03-31
541686,Sherwood Park,SHERWOOD PARK,AB,28 Strathmoor Dr,161.1,2026-03-31
519341,Slave Lake,SLAVE LAKE,AB,1501 15th Avenue SE,170.2,2026-03-31
524546,Spruce Valley (Prosvita),SPRUCE VALLEY,AB,194057A Twp Rd 683,168.2,2026-03-31
524597,Strathmore Travel Centre,STRATHMORE,AB,436 Ridge Rd,165.0,2026-03-31
524598,Vermilion,VERMILLION,AB,4403 52 St,165.0,2026-03-31
519353,Viking,VIKING,AB,Alberta 36 & AB-14,166.8,2026-03-31
524611,Whitecourt,WHITECOURT,AB,Jct Hwy 43 & 32,168.6,2026-03-31
523529,Abbotsford,ABBOTSFORD,BC,30650 South Fraser Way,225.5,2026-03-31
524578,Blue River Travel Centre,BLUE RIVER,BC,778 Hwy 5,192.0,2026-03-31
524586,Cache Creek,CACHE CREEK,BC,959 S Trans-Canada Hwy,189.6,2026-03-31
524555,Chilliwack Travel Centre,CHILLIWACK,BC,7620a Vedder Rd,224.1,2026-03-31
519383,Dawson Creek,DAWSON CREEK,BC,1725 Alaska Hwy,187.6,2026-03-31
524878,Fort Nelson 48 Ave,FORT NELSON,BC,5303 48 Ave,175.3,2026-03-31
524587,Fort Nelson Bulk Plant,FORT NELSON,BC,Mile 293 Alaska Hwy,174.7,2026-03-31
524583,Fort St John Bulk Plant,FORT ST JOHN,BC,9516 78 St,173.3,2026-03-31
524585,Fort St John Sikanni Rd,FT ST JOHN,BC,9516 Sikanni Rd,173.3,2026-03-31
524571,Golden Travel Centre,GOLDEN,BC,1050 Trans-Canada Hwy,194.6,2026-03-31
524575,Hope Flood Hope Rd,HOPE,BC,61850 Flood Hope Rd,225.2,2026-03-31
545954,Invermere,INVERMERE,BC,548 Hwy 93/95 & Cooper Rd,173.7,2026-03-31
524588,Kamloops Paul Lake Rd Travel Centre,KAMLOOPS,BC,401 Paul Lake Rd,187.5,2026-03-31
