Site #,Site,City,Prov,Prod,Rack Prov,Base Price,Excise Tax/ Fees,Prov Fuel Tax/ Fees,Fuel Price,G/HST,QST,In Tax Price,Total Cost
1262,IRVING 24 FREDERICTON,FREDERICTON,NB,DSL,NB,1.4664,0.04,0.1545,1.6609,0.2491,,1.91,1.91
1373,IRVING 24 ST-QUENTIN,ST-QUENTIN,NB,DSL,NB,1.4964,0.04,0.1545,1.6909,0.2536,,1.944,1.944
1522,IRVING 24 CHATHAM,CHATHAM,NB,DSL,NB,1.4873,0.04,0.1545,1.6818,0.2523,,1.934,1.934
1763,IRVING 24 PENNFIELD,PENNFIELD RIDGE,NB,DSL,NB,1.4626,0.04,0.1545,1.6571,0.2486,,1.906,1.906
1100,IRVING 24 DIGBY,DIGBY,NS,DSL,NS,1.5715,0.04,0.154,1.7655,0.2472,,2.013,2.013
2248,IRVING 24 DARTMOUTH,DARTMOUTH,NS,DSL,NS,1.5514,0.04,0.154,1.7454,0.2444,,1.99,1.99
2361,NEW MINAS IRVING BIG STOP,NEW MINAS,NS,DSL,NS,1.5644,0.04,0.154,1.7584,0.2462,,2.005,2.005
2513,IRVING 24 NEW GLASGOW,NEW GLASGOW,NS,DSL,NS,1.563,0.04,0.154,1.757,0.246,,2.003,2.003
2871,IRVING 24 YARMOUTH,YARMOUTH,NS,DSL,NS,1.5798,0.04,0.154,1.7738,0.2483,,2.022,2.022
3134,DEER LAKE IRVING BIG STOP,DEER LAKE,NL,DSL,NL,1.6321,0.04,0.095,1.7671,0.2651,,2.032,2.032
3340,IRVING 24 ST.JOHNS,MOUNT PEARL,NL,DSL,NL,1.595,0.04,0.095,1.73,0.2595,,1.989,1.989
5050,IRVING 24 DUPLESSIS,QUEBEC,QC,DSL,QC 1,1.5366,0.04,0.202,1.7786,,0.2663,2.045,2.045
9003,PEMBROKE IRVING BIG STOP,PEMBROKE,ON,DSL,ON,1.4115,0.04,0.09,1.5415,0.2004,,1.742,1.742
15100,IRVING 24 CHAMBORD,CHAMBORD,QC,DSL,QC 2,1.5628,0.04,0.1638,1.7666,,0.2645,2.031,2.031
21130,IRVING 24 BAIE COMEAU,BAIE-COMEAU,QC,DSL,QC 2,1.5842,0.04,0.1638,1.788,,0.2677,2.056,2.056
23150,ST-ANTONIN IRVING BIG STOP,ST-ANTONIN,QC,DSL,QC 1,1.5567,0.04,0.202,1.7987,,0.2694,2.068,2.068
35060,IRVING 24 PORT CARTIER,PORT CARTIER,QC,DSL,QC 2,1.609,0.04,0.1638,1.8128,,0.2715,2.084,2.084
37030,IRVING 24 STE-ANNE DE MONTS,STE-ANNE-DES-MONTS,QC,DSL,QC 2,1.5827,0.04,0.1638,1.7865,,0.2675,2.054,2.054
59002,IRVING 24 LA TUQUE,LA TUQUE,QC,DSL,QC 3,1.5777,0.04,0.183,1.8007,,0.2697,2.07,2.07
37608,IRVING 24 ST DAVIDS,CRABBE RIVER,NL,DSL,NL,1.6398,0.04,0.095,1.7748,0.2662,,2.041,2.041
5110,ST-LIBOIRE IRVING BIG STOP,ST-LIBOIRE,QC,DSL,QC 1,1.5466,0.04,0.202,1.7886,,0.2678,2.056,2.056
9000,IRVING OIL - CORNWALL MAINWAY,CORNWALL,ON,DSL,ON,1.403,0.04,0.09,1.533,0.1993,,1.732,1.732
13210,IRVING 24 MONTREAL,MONTREAL,QC,DSL,QC 1,1.5369,0.04,0.202,1.7789,,0.2664,2.045,2.045
1375,SALISBURY IRVING BIG STOP,SALISBURY,NB,DSL,NB,1.4582,0.04,0.1545,1.6527,0.2479,,1.901,1.901
2633,ENFIELD IRVING BIG STOP,ENFIELD,NS,DSL,NS,1.5515,0.04,0.154,1.7455,0.2444,,1.99,1.99
1340,IRVING 24 GRAND FALLS,ST ANDRE,NB,DSL,NB,1.4769,0.04,0.1545,1.6714,0.2507,,1.922,1.922
1599,IRVING 24 ROUTE 1,ROTHESAY,NB,DSL,NB,1.4542,0.04,0.1545,1.6487,0.2473,,1.896,1.896
2203,IRVING 24 BEECHVILLE,BEECHVILLE,NS,DSL,NS,1.551,0.04,0.154,1.745,0.2443,,1.989,1.989
1312,LINCOLN IRVING BIG STOP,WAASIS,NB,DSL,NB,1.4542,0.04,0.1545,1.6487,0.2473,,1.896,1.896
