Station_Name,Province,Price
WILEVILLE,NS,2.067
WILMOT,NS,2.0673
WINDSOR,NS,2.0648
YARMOUTH,NS,2.0835
BVD - MEDUCTIC WEST,NB,2.1477
GRAND FALLS,NB,2.0808
MONCTON,NB,2.0788
AMOS,QC,2.1969
BAIE COMEAU,QC,2.1945
CHAMBORD,QC,2.174
CHIBOUGAMAU,QC,2.1912
CHICOUTIMI,QC,2.1747
GATINEAU,QC,2.2227
GRANBY,QC,2.2057
LACHINE,QC,2.1932
L'ASSOMPTION,QC,2.1954
LAVAL,QC,2.1932
MATAGAMI,QC,2.2384
MONT JOLI,QC,2.1693
MONT-LAURIER,QC,2.1945
NAPIERVILLE,QC,2.2002
ROUYN-NORANDA,QC,2.2056
SHERBROOKE,QC,2.2142
STE EULALIE,QC,2.203
STE FOY,QC,2.1913
STE JULIE,QC,2.1935
ST JEAN-PORT JOLI,QC,2.2036
ST LAURENT,QC,2.195
ST NICOLAS,QC,2.191
TROIS RIVIERES,QC,2.2035
VAL D'OR-EAST,QC,2.2081
VANIER,QC,2.1916
VILLE D'ANJOU,QC,2.187
BARRIE,ON,1.939
BOTHWELL,ON,1.922
BOWMANVILLE,ON,1.9385
BRADFORD (SITE 04041),ON,1.94
BRAMPTON-ARMBRO,ON,1.9573
BRAMPTON-INTERMODAL,ON,1.9259
BURLINGTON,ON,1.9324
BVD - BRAMPTON EAST,ON,1.975
BVD - BRAMPTON WEST,ON,1.975
BVD - COCHRANE,ON,2.0448
BVD - COMBER EAST,ON,1.9265
BVD - COMBER WEST,ON,1.9265
BVD - CORNWALL EAST,ON,1.9872
BVD - CORNWALL WEST,ON,1.9872
BVD - MILTON WEST,ON,1.9773
BVD - MISSISSAUGA EAST,ON,1.975
BVD - MISSISSAUGA WEST,ON,1.975
BVD - NIAGARA-ON-THE-LAKE,ON,1.9671
BVD - NIPIGON WEST,ON,1.6913
BVD - NORTH BAY WEST,ON,2.0137
BVD - SARNIA WEST,ON,1.9548
BVD - SAULT STE MARIE,ON,2.0048
CHATHAM,ON,1.926
CLARKSON,ON,1.9351
COLLINGWOOD,ON,1.9412
CONCORD,ON,1.9326
COOKSTOWN,ON,1.9373
DORCHESTER WEST,ON,1.9135
DRYDEN,ON,1.7353
DUNNVILLE,ON,1.943
EXETER,ON,1.9207
FERGUS,ON,1.945
FLAMBOROUGH,ON,1.937
FORT ERIE,ON,1.9436
GLENCOE         ON,,1.905
GUELPH,ON,1.94
HAGERSVILLE,ON,1.9479
HAMILTON-KENORA AVE,ON,1.9401
HAMILTON-PARKDALE,ON,1.9401
HORNBY,ON,1.9281
HUNTSVILLE,ON,1.948
IGNACE,ON,1.6945
KAMINISTIQUIA,ON,1.6775
KENORA,ON,1.7197
KINGSTON-CENTENNIAL WEST,ON,1.9996
KITCHENER,ON,1.9198
LANGTON,ON,1.9204
LISTOWEL,ON,1.9304
LONDON-CLARKE ROAD,ON,1.911
LONDON-WILTON GROVE,ON,1.9131
MILTON,ON,1.93
MISSISSAUGA-ATLANTIC,ON,1.9245
MISSISSAUGA-DIXIE&DREW,ON,1.9253
MOUNT FOREST,ON,1.9254
NEW LISKEARD,ON,2.009
NEWMARKET,ON,1.939
NIAGARA FALLS,ON,1.9479
NORTH BAY-HWY 11,ON,1.9553
NORTH YORK-STEELES,ON,1.934
NORWICH,ON,1.9219
ORANGEVILLE,ON,1.945
ORILLIA PETRO PASS,ON,1.9452
ORONO,ON,1.9406
OSHAWA,ON,1.945
OTTAWA-GLOUCESTER,ON,1.975
OTTAWA-NEPEAN,ON,1.9782
OWEN SOUND,ON,1.9485
PETERBOROUGH  (22718),ON,1.951
PICKERING,ON,1.9387
RED LAKE,ON,1.7984
REXDALE,ON,1.9268
SARNIA,ON,1.916
SIMCOE,ON,1.94
SIOUX LOOKOUT,ON,1.7384
STAYNER,ON,1.9412
ST. CATHARINES,ON,1.9385
ST ISIDORE,ON,1.9813
ST-THOMAS PETRO-PASS    ON,,1.9265
SUDBURY-BARRYDOWNE,ON,1.9697
SUDBURY-REGENT,ON,1.9697
SUMMERSTOWN,ON,1.9327
THUNDER BAY,ON,1.6725
TIMMINS-MONETA,ON,1.9647
TORONTO-NORTH QUEEN,ON,1.9241
VAUGHAN,ON,1.937
WATERLOO,ON,1.938
WELLAND,ON,1.9475
WINDSOR-COUNTY RD 46,ON,1.9341
WINGHAM  22716,ON,1.9274
WOODSTOCK,ON,1.9373
ALTONA       MB,,1.729
ARBORG,MB,1.723
BRANDON-18TH ST,MB,1.7262
BRANDON-TCH,MB,1.7262
BVD - WINNIPEG WEST,MB,1.7433
CRYSTAL CITY (65885),MB,1.7369
DAUPHIN,MB,1.7291
KILLARNEY,MB,1.7369
MELITA,MB,1.7394
MIAMI,MB,1.7369
MORRIS,MB,1.724
NEEPAWA,MB,1.7312
PINE FALLS,MB,1.723
PORTAGE LA PRAIRIE,MB,1.7232
RESTON,MB,1.7394
RUSSELL,MB,1.7174
STEINBACH   MB,,1.727
TEULON,MB,1.72
THE PAS,MB,1.721
THOMPSON,MB,1.7375
VIRDEN,MB,1.7394
WINKLER,MB,1.7276
WINNIPEG-DEACONS,MB,1.7196
WINNIPEG-MARION ST,MB,1.7079
ALIDA,SK,1.7476
ASSINIBOIA,SK,1.7272
BIGGAR,SK,1.7434
BVD - GRENFELL WEST,SK,1.7329
CARLYLE,SK,1.7437
CARNDUFF,SK,1.7437
CARROT RIVER,SK,1.7585
CHAPLIN,SK,1.722
CORMAN PARK,SK,1.7337
EDAM,SK,1.7527
ESTEVAN - 4TH ST,SK,1.7402
ESTEVAN - CARBON,SK,1.7402
GRAVELBOURG,SK,1.7358
GRENFELL,SK,1.726
HUMBOLDT,SK,1.7504
KINDERSLEY,SK,1.7545
KIPLING,SK,1.7396
LAMPMAN,SK,1.7338
LARONGE,SK,1.7777
MAIDSTONE,SK,1.7352
MANKOTA,SK,1.7416
MAPLE CREEK,SK,1.7432
MEADOW LAKE,SK,1.7661
MELFORT,SK,1.7676
MOOSE JAW,SK,1.722
NORTH BATTLEFORD BYPASS,SK,1.7487
NORTH BATTLEFORD,SK,1.7487
OXBOW,SK,1.7416
PRINCE ALBERT,SK,1.7496
RADVILLE,SK,1.7385
REDVERS,SK,1.7483
REGINA,SK,1.719
ROSETOWN,SK,1.7466
SASKATOON-51ST ST,SK,1.7324
SASKATOON-MELVILLE,SK,1.7325
SHAUNAVON,SK,1.7425
STOUGHTON,SK,1.7403
SWIFT CURRENT,SK,1.7321
TISDALE,SK,1.7578
UNITY,SK,1.752
WADENA,SK,1.7382
WEYBURN,SK,1.7206
YORKTON-HWY 16,SK,1.7337
ALDERSYDE,AB,1.7218
ALDERSYDE,AB,1.7218
ATHABASCA,AB,1.7074
BASSANO,AB,1.7267
BONNYVILLE,AB,1.7122
BROOKS-AGCOM,AB,1.7306
BVD - CALGARY WEST,AB,1.7622
CALGARY-COUNTRY HILLS,AB,1.7211
CALGARY-MONUMENT,AB,1.7109
CALGARY-OGDEN RD,AB,1.7103
CALGARY-REMINGTON,AB,1.7126
CALGARY ROAD KING  AB,,1.7105
CAMROSE,AB,1.6946
CARDSTON,AB,1.7333
CARSTAIRS,AB,1.7089
CLAIRMONT,AB,1.7338
CNRL HORIZON PROJECT,AB,1.78
COCHRANE-JUMPING POUND,AB,1.7232
COLD LAKE,AB,1.7335
CORONATION,AB,1.7069
CROSSFIELD,AB,1.7092
DRAYTON VALLEY-50TH ST,AB,1.703
DRAYTON VALLEY-INDUSTRIAL,AB,1.7038
DRUMHELLER,AB,1.7121
EDMONTON-118 AVE,AB,1.6917
EDMONTON-50TH ST,AB,1.6901
EDMONTON-ACHESON,AB,1.6947
EDMONTON-WEST (HUNTERS CNR,AB,1.6924
EDMONTON-YELLOWHEAD,AB,1.6868
EDSON - 63 ST,AB,1.7084
FALHER,AB,1.7341
FORT MCMURRAY-NORTH,AB,1.7454
FORT MCMURRAY PPASS 66,AB,1.7276
FORT MCMURRAY-SOUTH,AB,1.7454
FOX CREEK,AB,1.7175
FT SASKATCHEWAN,AB,1.6921
GLENEVIS,AB,1.6933
GRANDE PRAIRIE-116 ST,AB,1.7377
GRANDE PRAIRIE-97TH,AB,1.7338
GRASSLAND,AB,1.7197
HANNA,AB,1.7226
HARDISTY,AB,1.7024
HIGH LEVEL,AB,1.7391
HIGH PRAIRIE,AB,1.7268
HINTON,AB,1.7191
HUSSAR,AB,1.7283
LAC LA BICHE,AB,1.7124
LA CRETE,AB,1.7574
LETHBRIDGE,AB,1.733
LLOYDMINSTER 63,AB,1.7107
LLOYDMINSTER,AB,1.7107
MANNING,AB,1.7496
MCL ARCHIEWAY,AB,1.8932
MCL BALZAC YAR,AB,1.7361
MCL CNRL PIKE CAMP AB,,1.795
MCL DEERFOOT UPGRADES,AB,1.7369
MCL DP2Z- BLOCK 80 DEPOT A,,1.7313
MCL HAMMERSTONE_92704,AB,1.7504
MCL HAMMERSTONE CON_92701,AB,1.736
MCL HANGINGSTONE,AB,1.732
MCL HUSKY RD,AB,1.9238
MCL JACKFISH,AB,1.7717
MCL JACKFISH TA    AB,,1.7986
MCL KLEYSEN,AB,1.6965
MCL LEISMER,AB,1.7802
MCL LONG LAKE,AB,1.784
MCL PELICAN LAKE,AB,1.7696
MCL PRIMROSE THERMAL,AB,1.8048
MCL RUTH LAKE,AB,1.7574
MCL WHISKEY JACK   AB,,1.759
MEDICINE HAT-10TH AVE,AB,1.7378
MEDICINE HAT-BOX SPRINGS,AB,1.7426
NISKU,AB,1.6933
OLDS,AB,1.707
PEACE RIVER,AB,1.7359
PEACE RIVER,AB,1.7359
PINCHER CREEK,AB,1.7332
PROVOST,AB,1.7161
REDCLIFF,AB,1.7388
RED DEER-54TH AVE,AB,1.7002
RED DEER-EDGAR,AB,1.7002
RED DEER HIGHWAY 2 AND 42,AB,1.701
RED EARTH CREEK,AB,1.7332
ROCKY MTN HOUSE,AB,1.7066
SLAVE LAKE-12TH AVE,AB,1.7187
SLAVE LAKE-15TH AVE,AB,1.7187
SPIRIT RIVER,AB,1.7394
STETTLER,AB,1.7034
STRATHMORE,AB,1.7245
SUNDRE,AB,1.7095
TABER,AB,1.7388
THREE HILLS,AB,1.7093
VALLEYVIEW,AB,1.7236
VEGREVILLE,AB,1.6967
VERMILION,AB,1.7088
VIKING,AB,1.699
VULCAN,AB,1.7296
WASKATENAU,AB,1.6939
WESTLOCK,AB,1.7029
WETASKIWIN,AB,1.6954
WHITECOURT-42ND ST,AB,1.7131
WHITECOURT-HWY 43,AB,1.7131
100 MILE HOUSE,BC,1.9526
ABBOTSFORD,BC,2.2876
BVD - KAMLOOPS WEST,BC,1.9793
CAMPBELL RIVER,BC,2.3264
CHILLIWACK,BC,2.2922
CHILLIWACK W-GREENDALE,BC,2.2901
COQUITLAM,BC,2.4082
COURTENAY,BC,2.325
CRANBROOK,BC,1.9544
DAWSON CREEK,BC,1.9167
DELTA,BC,2.4098
DUNCAN,BC,2.3182
FORT NELSON,BC,1.913
FORT ST JOHN,BC,1.9023
GOLDEN,BC,1.9467
GOLD RIVER    BC,,2.355
GRAND FORKS,BC,1.9637
HOUSTON,BC,1.9607
INVERMERE PPASS,BC,1.9476
KAMLOOPS-TCH EAST,BC,1.9238
