SITE_NAME,Station_Name,CITY,PROVINCE,Address,FUEL_PRICE,EFFECTIVE_DATE
ALDERSYDE,ALDERSYDE,,AB,,1.7138,2026-03-31
ALDERSYDE,ALDERSYDE,,AB,,1.7138,2026-03-31
ATHABASCA,ATHABASCA,,AB,,1.6994,2026-03-31
BROOKS-AGCOM,BROOKS-AGCOM,,AB,,1.7226,2026-03-31
BVD - CALGARY WEST,BVD - CALGARY WEST,,AB,,1.7542,2026-03-31
BASSANO,Bassano Travel Centre,Bassano,AB,602 12 Street,1.7187,2026-03-31
BONNYVILLE,Bonnyville,Bonnyville,AB,6508 54 AVENUE,1.7042,2026-03-31
CALGARY ROAD KING,CALGARY ROAD KING,,AB,,1.7025,2026-03-31
CALGARY-COUNTRY HILLS,CALGARY-COUNTRY HILLS,,AB,,1.7131,2026-03-31
CALGARY-MONUMENT,CALGARY-MONUMENT,,AB,,1.7029,2026-03-31
CALGARY-OGDEN RD,CALGARY-OGDEN RD,,AB,,1.7023,2026-03-31
CALGARY-REMINGTON,CALGARY-REMINGTON,,AB,,1.7046,2026-03-31
CAMROSE,CAMROSE,,AB,,1.6866,2026-03-31
CARDSTON,CARDSTON,,AB,,1.7253,2026-03-31
CARSTAIRS,CARSTAIRS,,AB,,1.7009,2026-03-31
CNRL HORIZON PROJECT,CNRL HORIZON PROJECT,,AB,,1.7720,2026-03-31
COCHRANE-JUMPING POUND,COCHRANE-JUMPING POUND,,AB,,1.7152,2026-03-31
CORONATION,CORONATION,,AB,,1.6989,2026-03-31
CROSSFIELD,CROSSFIELD,,AB,,1.7012,2026-03-31
CLAIRMONT,Clairmont Travel Centre,Clairmont,AB,7201 99 St,1.7258,2026-03-31
COLD LAKE,Cold Lake Esso CL,Cold Lake,AB,10-1-65-4 W4M,1.7255,2026-03-31
DEPOT,DEPOT,,AB,,1.7233,2026-03-31
DRAYTON VALLEY-INDUSTRIAL,DRAYTON VALLEY-INDUSTRIAL,,AB,,1.6958,2026-03-31
DRUMHELLER,DRUMHELLER,,AB,,1.7041,2026-03-31
EDMONTON-ACHESON,EDMONTON-ACHESON,,AB,,1.6867,2026-03-31
EDMONTON-YELLOWHEAD,EDMONTON-YELLOWHEAD,,AB,,1.6788,2026-03-31
NISKU,Esso Nisku,Nisku,AB,2010 Sparrow Drive,1.6853,2026-03-31
FALHER,FALHER,,AB,,1.7261,2026-03-31
FORT MCMURRAY-NORTH,FORT MCMURRAY-NORTH,,AB,,1.7374,2026-03-31
FORT MCMURRAY-SOUTH,FORT MCMURRAY-SOUTH,,AB,,1.7374,2026-03-31
FOX CREEK,FOX CREEK,,AB,,1.7095,2026-03-31
FT SASKATCHEWAN,FT SASKATCHEWAN,,AB,,1.6841,2026-03-31
GLENEVIS,GLENEVIS,,AB,,1.6853,2026-03-31
GRASSLAND,Grassland,Grassland,AB,5004 50th Ave,1.7117,2026-03-31
HANNA,HANNA,,AB,,1.7146,2026-03-31
HARDISTY,HARDISTY,,AB,,1.6944,2026-03-31
HIGH LEVEL,HIGH LEVEL,,AB,,1.7311,2026-03-31
HIGH PRAIRIE,HIGH PRAIRIE,,AB,,1.7188,2026-03-31
HUSSAR,HUSSAR,,AB,,1.7203,2026-03-31
HINTON,Hinton Gregg Ave Travel Centre,Hinton,AB,511 Gregg Ave,1.7111,2026-03-31
LA CRETE,LA CRETE,,AB,,1.7494,2026-03-31
LAC LA BICHE,Lac La Biche,Lac La Biche,AB,10302 101 Ave,1.7044,2026-03-31
LETHBRIDGE,Lethbridge,Lethbridge,AB,3951 2 Ave N,1.7250,2026-03-31
LLOYDMINSTER,Lloydminster Bulk Plant,Lloydminster,AB,5310 52 St,1.7027,2026-03-31
MANNING,MANNING,,AB,,1.7416,2026-03-31
MCL ARCHIEWAY,MCL ARCHIEWAY,,AB,,1.8852,2026-03-31
MCL BALZAC YAR,MCL BALZAC YAR,,AB,,1.7281,2026-03-31
MCL CNRL PIKE CAMP,MCL CNRL PIKE CAMP,,AB,,1.7870,2026-03-31
MCL DEERFOOT UPGRADES,MCL DEERFOOT UPGRADES,,AB,,1.7289,2026-03-31
MCL HANGINGSTONE,MCL HANGINGSTONE,,AB,,1.7240,2026-03-31
MCL HUSKY RD,MCL HUSKY RD,,AB,,1.9158,2026-03-31
MCL JACKFISH,MCL JACKFISH,,AB,,1.7637,2026-03-31
MCL JACKFISH TA,MCL JACKFISH TA,,AB,,1.7906,2026-03-31
MCL KLEYSEN,MCL KLEYSEN,,AB,,1.6885,2026-03-31
MCL LEISMER,MCL LEISMER,,AB,,1.7722,2026-03-31
MCL LONG LAKE,MCL LONG LAKE,,AB,,1.7760,2026-03-31
MCL PELICAN LAKE,MCL PELICAN LAKE,,AB,,1.7616,2026-03-31
MCL PRIMROSE THERMAL,MCL PRIMROSE THERMAL,,AB,,1.7968,2026-03-31
MCL RUTH LAKE,MCL RUTH LAKE,,AB,,1.7494,2026-03-31
MCL WHISKEY JACK,MCL WHISKEY JACK,,AB,,1.7510,2026-03-31
MEDICINE HAT-BOX SPRINGS,MEDICINE HAT-BOX SPRINGS,,AB,,1.7346,2026-03-31
ND ST,ND ST,,AB,,1.7051,2026-03-31
PEACE RIVER,PEACE RIVER,,AB,,1.7279,2026-03-31
PEACE RIVER,PEACE RIVER,,AB,,1.7279,2026-03-31
PINCHER CREEK,PINCHER CREEK,,AB,,1.7252,2026-03-31
PRINCE RUPERT,PRINCE RUPERT,,AB,,1.9647,2026-03-31
RED DEER-EDGAR,RED DEER-EDGAR,,AB,,1.6922,2026-03-31
RED EARTH CREEK,RED EARTH CREEK,,AB,,1.7252,2026-03-31
REDCLIFF,REDCLIFF,,AB,,1.7308,2026-03-31
