Petro-Canada Petro-Pass Price (Canadian $/Litre)                Page:   1      ,,,,,,,  
            (As of: 2026-04-02)                    Created on: 2026-04-02      ,,,,,,,  
Account: 7089248298 - OBYR TRANSPORT INC.                                      ,,,,,,,  
Product: D1         - DIESEL - ULS                                             ,,,,,,,  
Region : "ALL"  Provinces: "ALL"                                               ,,,,,,,  
                          ,   ,PRICE* ,      , CBN+ ,BASE   ,         ,       ,  
                          ,   ,EXCL.  , FCT+ , PFT+ ,PRICE  ,         ,       ,  
                          ,   ,GST/HST,  FET , UTT  ,EXCL.  ,         ,       ,  
SITE NAME                 ,Prv,PST $/L,  $/L , $/L  ,TAX $/L,         ,       ,  
--------------------------,---,-------,------,------,-------,         ,       ,  
DEER LAKE                 , NL, 1.9483,0.0400,0.0950, 1.8133,         ,       ,  
GOOBIES                   , NL, 1.9049,0.0400,0.0950, 1.7699,         ,       ,  
ST JOHN'S                 , NL, 1.9095,0.0400,0.0950, 1.7745,         ,       ,  
  
DARTMOUTH                 , NS, 1.9356,0.0400,0.1540, 1.7416,         ,       ,  
GLENHOLME                 , NS, 1.9461,0.0400,0.1540, 1.7521,         ,       ,  
LITTLE BRAS D'OR          , NS, 1.9411,0.0400,0.1540, 1.7471,         ,       ,  
LW HARBOUR                , NS, 1.9605,0.0400,0.1540, 1.7665,         ,       ,  
WILEVILLE                 , NS, 1.9440,0.0400,0.1540, 1.7500,         ,       ,  
WILMOT                    , NS, 1.9443,0.0400,0.1540, 1.7503,         ,       ,  
WINDSOR                   , NS, 1.9418,0.0400,0.1540, 1.7478,         ,       ,  
YARMOUTH                  , NS, 1.9605,0.0400,0.1540, 1.7665,         ,       ,  
  
BVD - MEDUCTIC WEST       , NB, 2.0037,0.0400,0.1545, 1.8092,         ,       ,  
GRAND FALLS               , NB, 1.9368,0.0400,0.1545, 1.7423,         ,       ,  
MONCTON                   , NB, 1.9558,0.0400,0.1545, 1.7613,         ,       ,  
  
AMOS                      , QC, 2.0542,0.0400,0.1638, 1.8504,         ,       ,  
BAIE COMEAU               , QC, 2.0505,0.0400,0.1638, 1.8467,         ,       ,  
CHAMBORD                  , QC, 2.0300,0.0400,0.1638, 1.8262,         ,       ,  
CHIBOUGAMAU               , QC, 2.0472,0.0400,0.1638, 1.8434,         ,       ,  
CHICOUTIMI                , QC, 2.0307,0.0400,0.1638, 1.8269,         ,       ,  
GATINEAU                  , QC, 2.0787,0.0400,0.2020, 1.8367,         ,       ,  
GRANBY                    , QC, 2.0617,0.0400,0.2020, 1.8197,         ,       ,  
LACHINE                   , QC, 2.0492,0.0400,0.2020, 1.8072,         ,       ,  
L'ASSOMPTION              , QC, 2.0514,0.0400,0.2020, 1.8094,         ,       ,  
LAVAL                     , QC, 2.0492,0.0400,0.2020, 1.8072,         ,       ,  
MATAGAMI                  , QC, 2.0944,0.0400,0.1638, 1.8906,         ,       ,  
MONT JOLI                 , QC, 2.0253,0.0400,0.1638, 1.8215,         ,       ,  
MONT-LAURIER              , QC, 2.0505,0.0400,0.1830, 1.8275,         ,       ,  
NAPIERVILLE               , QC, 2.0562,0.0400,0.2020, 1.8142,         ,       ,  
ROUYN-NORANDA             , QC, 2.0616,0.0400,0.1638, 1.8578,         ,       ,  
SHERBROOKE                , QC, 2.0702,0.0400,0.2020, 1.8282,         ,       ,  
STE EULALIE               , QC, 2.0590,0.0400,0.2020, 1.8170,         ,       ,  
STE FOY                   , QC, 2.0473,0.0400,0.2020, 1.8053,         ,       ,  
STE JULIE                 , QC, 2.0495,0.0400,0.2020, 1.8075,         ,       ,  
ST JEAN-PORT JOLI         , QC, 2.0596,0.0400,0.2020, 1.8176,         ,       ,  
ST LAURENT                , QC, 2.0510,0.0400,0.2020, 1.8090,         ,       ,  
ST NICOLAS                , QC, 2.0470,0.0400,0.2020, 1.8050,         ,       ,  
